idx,data_prop,model_name,augmentation,batch_size,enc_layer,hidden_dim,acc,val_acc,cost_time(sec),record_time,emb_time
0,0.9,SimCLR,node_dropping,64,1,64,0.7560606060606061,0.7007575757575758,38927.243092775345,20211025-033123,21.72122573852539
1,0.9,SimCLR,node_dropping,64,1,512,0.7386363636363636,0.7719696969696971,38901.6491458416,20211025-142008,23.062651872634888
2,0.9,SimCLR,node_dropping,64,2,64,0.7462121212121213,0.7439393939393939,39060.387159109116,20211026-011131,21.520692825317383
3,0.9,SimCLR,node_dropping,64,2,512,0.7553030303030304,0.7378787878787879,38991.80069184303,20211026-120146,23.41365694999695
4,0.9,SimCLR,node_dropping,64,3,64,0.7727272727272727,0.7469696969696971,39354.257476091385,20211026-225803,21.746514320373535
5,0.9,SimCLR,node_dropping,64,3,512,0.7272727272727273,0.7333333333333334,39284.90480184555,20211027-095313,24.84100031852722
6,0.9,SimCLR,node_dropping,128,1,64,0.7560606060606061,0.6840909090909091,41079.227465867996,20211103-044323,21.348100423812866
7,0.9,SimCLR,node_dropping,128,1,512,0.7462121212121212,0.7977272727272727,41060.393013477325,20211103-160806,22.691230535507202
8,0.9,SimCLR,node_dropping,128,2,64,0.7295454545454546,0.7439393939393939,41212.408687114716,20211104-033521,21.8245952129364
9,0.9,SimCLR,node_dropping,128,2,512,0.737878787878788,0.7204545454545455,41389.11148452759,20211104-150536,24.502077102661133
10,0.9,SimCLR,node_dropping,128,3,64,0.7469696969696971,0.737878787878788,41323.01940369606,20211105-023441,21.770997047424316
11,0.9,SimCLR,node_dropping,128,3,512,0.7454545454545455,0.759848484848485,41245.44862008095,20211105-140232,24.504069089889526
12,0.9,SimCLR,edge_perturbation,64,1,64,0.7606060606060606,0.7545454545454546,39259.165457487106,20211106-005713,21.42229413986206
13,0.9,SimCLR,edge_perturbation,64,1,512,0.7636363636363637,0.7545454545454546,39201.55288243294,20211106-115058,22.559156894683838
14,0.9,SimCLR,edge_perturbation,64,2,64,0.7303030303030302,0.7303030303030302,39647.0823469162,20211106-225207,21.91138982772827
15,0.9,SimCLR,edge_perturbation,64,2,512,0.7537878787878788,0.7553030303030304,39444.08710813522,20211107-094956,23.947481155395508
16,0.9,SimCLR,edge_perturbation,64,3,64,0.7446969696969697,0.7636363636363637,38956.241562604904,20211107-203935,22.036958932876587
17,0.9,SimCLR,edge_perturbation,64,3,512,0.7303030303030302,0.7719696969696971,39390.428609371185,20211108-073631,24.952321767807007
18,0.9,SimCLR,edge_perturbation,128,1,64,0.7363636363636364,0.7886363636363637,41243.42416667938,20211108-190417,21.877723693847656
19,0.9,SimCLR,edge_perturbation,128,1,512,0.7515151515151516,0.7795454545454545,41741.1328356266,20211109-064022,23.018412828445435
20,0.9,SimCLR,edge_perturbation,128,2,64,0.7560606060606061,0.734090909090909,41176.38228011131,20211109-180700,21.551151037216187
21,0.9,SimCLR,edge_perturbation,128,2,512,0.734848484848485,0.7446969696969697,40958.76919007301,20211110-053003,23.61770009994507
22,0.9,SimCLR,edge_perturbation,128,3,64,0.7462121212121212,0.7363636363636363,41315.73447680473,20211110-165902,22.436018466949463
