idx,data_prop,model_name,augmentation,batch_size,enc_layer,hidden_dim,acc,val_acc,cost_time(sec),record_time,emb_time
0,0.9,SimCLR,node_dropping,64,1,64,0.7,0.75,42.96177530288696,20211008-142946,1.3084566593170166
1,0.9,SimCLR,node_dropping,64,1,512,0.8,0.65,42.02527856826782,20211008-143029,1.2882318496704102
2,0.9,SimCLR,node_dropping,64,2,64,0.75,0.65,43.59733724594116,20211008-143114,1.2487988471984863
3,0.9,SimCLR,node_dropping,64,2,512,0.8,0.8,45.388065338134766,20211008-143201,1.3350739479064941
4,0.9,SimCLR,node_dropping,64,3,64,0.75,0.85,46.79855155944824,20211008-143249,1.259568452835083
5,0.9,SimCLR,node_dropping,64,3,512,0.75,0.6,45.56131339073181,20211008-143336,1.3839235305786133
6,0.9,SimCLR,node_dropping,256,1,64,0.75,0.75,39.74026918411255,20211008-143417,1.2512555122375488
7,0.9,SimCLR,node_dropping,256,1,512,0.8,0.7,39.84474492073059,20211008-143458,1.2859952449798584
8,0.9,SimCLR,node_dropping,256,2,64,0.8,0.7,39.6327543258667,20211008-143539,1.1933000087738037
9,0.9,SimCLR,node_dropping,256,2,512,0.7,0.85,38.53304386138916,20211008-143619,1.2704503536224365
10,0.9,SimCLR,node_dropping,256,3,64,0.75,0.7,39.72173619270325,20211008-143701,2.3445746898651123
11,0.9,SimCLR,node_dropping,256,3,512,0.75,0.75,39.10543203353882,20211008-143742,1.315373182296753
12,0.9,SimCLR,edge_perturbation,64,1,64,0.75,0.7,37.5018744468689,20211008-143820,1.1880385875701904
13,0.9,SimCLR,edge_perturbation,64,1,512,0.75,0.75,37.84826993942261,20211008-143859,1.229416847229004
14,0.9,SimCLR,edge_perturbation,64,2,64,0.65,0.65,40.65480422973633,20211008-143941,1.2442452907562256
15,0.9,SimCLR,edge_perturbation,64,2,512,0.8,0.8,40.652939319610596,20211008-144023,1.2789230346679688
16,0.9,SimCLR,edge_perturbation,64,3,64,0.75,0.75,41.178335666656494,20211008-144106,1.2583634853363037
17,0.9,SimCLR,edge_perturbation,64,3,512,0.8,0.7,42.9780170917511,20211008-144150,1.3809168338775635
18,0.9,SimCLR,edge_perturbation,256,1,64,0.75,0.6,37.044960021972656,20211008-144229,1.2465150356292725
19,0.9,SimCLR,edge_perturbation,256,1,512,0.65,0.7,37.06623101234436,20211008-144307,1.2370953559875488
20,0.9,SimCLR,edge_perturbation,256,2,64,0.7,0.7,37.90505290031433,20211008-144346,1.2044613361358643
21,0.9,SimCLR,edge_perturbation,256,2,512,0.75,0.65,36.071258783340454,20211008-144423,1.2943098545074463
22,0.9,SimCLR,edge_perturbation,256,3,64,0.75,0.7,37.602131843566895,20211008-144502,1.2047481536865234
23,0.9,SimCLR,edge_perturbation,256,3,512,0.75,0.55,36.45152950286865,20211008-144540,1.3219738006591797
24,0.9,SimCLR,subgraph,64,1,64,0.8,0.95,48.3939163684845,20211008-144630,1.184924602508545
25,0.9,SimCLR,subgraph,64,1,512,0.85,0.7,46.617183446884155,20211008-144718,1.2874855995178223
26,0.9,SimCLR,subgraph,64,2,64,0.85,0.85,49.821725606918335,20211008-144809,1.2497315406799316
27,0.9,SimCLR,subgraph,64,2,512,0.9,0.75,53.06951451301575,20211008-144903,1.33577561378479
28,0.9,SimCLR,subgraph,64,3,64,0.8,0.7,51.72670578956604,20211008-144956,1.25054931640625
29,0.9,SimCLR,subgraph,64,3,512,0.85,0.85,52.10579586029053,20211008-145050,1.3761937618255615
30,0.9,SimCLR,subgraph,256,1,64,0.8,0.9,46.83668088912964,20211008-145138,1.2418813705444336
31,0.9,SimCLR,subgraph,256,1,512,0.85,0.75,44.01475191116333,20211008-145223,1.2280192375183105
32,0.9,SimCLR,subgraph,256,2,64,0.75,0.85,43.735594034194946,20211008-145308,1.2473857402801514
33,0.9,SimCLR,subgraph,256,2,512,0.85,0.6,45.06210422515869,20211008-145355,1.3278906345367432
34,0.9,SimCLR,subgraph,256,3,64,0.75,0.9,44.917680978775024,20211008-145441,1.2015714645385742
35,0.9,SimCLR,subgraph,256,3,512,0.85,0.75,44.20663356781006,20211008-145527,1.3075618743896484
36,0.9,SimCLR,attribute_masking,64,1,64,0.75,0.55,39.84092617034912,20211008-145608,1.185295820236206
37,0.9,SimCLR,attribute_masking,64,1,512,0.75,0.65,41.661271810531616,20211008-145651,1.3008744716644287
38,0.9,SimCLR,attribute_masking,64,2,64,0.75,0.7,41.9487419128418,20211008-145734,1.1983494758605957
39,0.9,SimCLR,attribute_masking,64,2,512,0.85,0.75,41.76005244255066,20211008-145817,1.2765552997589111
40,0.9,SimCLR,attribute_masking,64,3,64,0.85,0.7,44.197882413864136,20211008-145902,1.2601425647735596
41,0.9,SimCLR,attribute_masking,64,3,512,1.0,1.0,45.22662711143494,20211008-145949,1.3652260303497314
42,0.9,SimCLR,attribute_masking,256,1,64,0.65,0.75,40.365588903427124,20211008-150031,1.2467503547668457
43,0.9,SimCLR,attribute_masking,256,1,512,0.8,0.9,40.46768522262573,20211008-150113,1.3695213794708252
44,0.9,SimCLR,attribute_masking,256,2,64,0.8,0.8,40.88827180862427,20211008-150155,1.2523138523101807
45,0.9,SimCLR,attribute_masking,256,2,512,0.8,0.55,40.89067792892456,20211008-150237,1.3247482776641846
46,0.9,SimCLR,attribute_masking,256,3,64,0.95,0.9,40.138633728027344,20211008-150320,2.453747272491455
47,0.9,SimCLR,attribute_masking,256,3,512,1.0,1.0,39.70595169067383,20211008-150401,1.3142554759979248
48,0.9,BarlowTwins,node_dropping,64,1,64,0.75,0.75,40.19589352607727,20211008-150442,1.1913621425628662
49,0.9,BarlowTwins,node_dropping,64,1,512,0.8,0.7,41.94188117980957,20211008-150525,1.2268543243408203
50,0.9,BarlowTwins,node_dropping,64,2,64,0.8,0.6,41.89049482345581,20211008-150608,1.196575403213501
51,0.9,BarlowTwins,node_dropping,64,2,512,0.8,0.7,42.236900806427,20211008-150652,1.2741005420684814
52,0.9,BarlowTwins,node_dropping,64,3,64,0.75,0.8,43.71661162376404,20211008-150737,1.203598976135254
53,0.9,BarlowTwins,node_dropping,64,3,512,0.9,0.8,43.633291482925415,20211008-150822,1.303056001663208
54,0.9,BarlowTwins,node_dropping,256,1,64,0.8,0.75,38.893311977386475,20211008-150902,1.1936635971069336
55,0.9,BarlowTwins,node_dropping,256,1,512,0.8,0.9,38.1100013256073,20211008-150942,1.289259910583496
56,0.9,BarlowTwins,node_dropping,256,2,64,0.75,0.85,40.04155683517456,20211008-151023,1.1945343017578125
57,0.9,BarlowTwins,node_dropping,256,2,512,0.85,0.85,38.44348502159119,20211008-151103,1.2682416439056396
58,0.9,BarlowTwins,node_dropping,256,3,64,0.75,0.7,39.00650095939636,20211008-151143,1.194495677947998
59,0.9,BarlowTwins,node_dropping,256,3,512,0.85,0.85,39.012059926986694,20211008-151223,1.3253486156463623
60,0.9,BarlowTwins,edge_perturbation,64,1,64,0.75,0.9,37.89933776855469,20211008-151302,1.243830680847168
61,0.9,BarlowTwins,edge_perturbation,64,1,512,0.85,0.75,39.91300129890442,20211008-151344,1.2871065139770508
