idx,data_prop,model_name,augmentation,batch_size,enc_layer,hidden_dim,acc,val_acc,cost_time(sec),record_time,emb_time
0,0.9,SimCLR,node_dropping,64,1,64,0.6911730545876886,0.6863530778164925,5244.517514228821,20211027-174324,8.398718357086182
1,0.9,SimCLR,node_dropping,64,1,512,0.6714285714285714,0.6350174216027875,5271.847091436386,20211027-191132,15.575645685195923
2,0.9,SimCLR,node_dropping,64,2,64,0.7125435540069686,0.7519163763066201,5296.494819641113,20211027-203957,8.777791738510132
3,0.9,SimCLR,node_dropping,64,2,512,0.6956445993031358,0.717595818815331,5298.671288251877,20211027-220845,29.26352858543396
4,0.9,SimCLR,node_dropping,64,3,64,0.6958188153310104,0.708130081300813,5328.545947551727,20211027-233744,9.926011800765991
5,0.9,SimCLR,node_dropping,64,3,512,0.7276422764227641,0.7419279907084785,5318.4086146354675,20211028-010702,39.85558772087097
6,0.9,SimCLR,node_dropping,256,1,64,0.6714866434378629,0.6251451800232288,5021.9795389175415,20211028-023053,8.337088823318481
7,0.9,SimCLR,node_dropping,256,1,512,0.6788617886178863,0.6885598141695702,5019.281632423401,20211028-035448,15.554842233657837
8,0.9,SimCLR,node_dropping,256,2,64,0.6786295005807201,0.6788037166085946,5029.364492177963,20211028-051846,8.678873062133789
9,0.9,SimCLR,node_dropping,256,2,512,0.744541231126597,0.6883855981416956,5105.229974269867,20211028-064421,30.155221223831177
10,0.9,SimCLR,node_dropping,256,3,64,0.6692799070847851,0.6981997677119628,5112.167396068573,20211028-080943,9.729048013687134
11,0.9,SimCLR,node_dropping,256,3,512,0.7130081300813007,0.7153310104529617,5119.615542650223,20211028-093544,40.911428689956665
12,0.9,SimCLR,edge_perturbation,64,1,64,0.6693960511033681,0.6496515679442508,5066.051837444305,20211028-110019,8.516918897628784
13,0.9,SimCLR,edge_perturbation,64,1,512,0.654355400696864,0.683739837398374,5078.609361886978,20211028-122514,15.821927785873413
14,0.9,SimCLR,edge_perturbation,64,2,64,0.6763646922183507,0.6618466898954704,4996.335192203522,20211028-134839,9.27583384513855
15,0.9,SimCLR,edge_perturbation,64,2,512,0.681416957026713,0.7274099883855981,5007.449927806854,20211028-151238,30.87967276573181
16,0.9,SimCLR,edge_perturbation,64,3,64,0.6908246225319395,0.6497677119628339,5038.162703037262,20211028-163646,10.275975942611694
17,0.9,SimCLR,edge_perturbation,64,3,512,0.705458768873403,0.6714285714285714,5128.887856721878,20211028-180256,41.04221773147583
18,0.9,SimCLR,edge_perturbation,256,1,64,0.6423925667828106,0.6567363530778165,5043.587581396103,20211028-192709,8.465028524398804
19,0.9,SimCLR,edge_perturbation,256,1,512,0.6666085946573751,0.6763066202090593,5052.8133952617645,20211028-205138,16.36911678314209
20,0.9,SimCLR,edge_perturbation,256,2,64,0.6839140534262484,0.6494773519163762,5053.588705778122,20211028-221601,9.374685049057007
21,0.9,SimCLR,edge_perturbation,256,2,512,0.708362369337979,0.6691056910569105,5059.7823939323425,20211028-234051,29.42192316055298
22,0.9,SimCLR,edge_perturbation,256,3,64,0.6983159117305459,0.6908246225319395,5062.535998344421,20211029-010523,10.154778480529785
23,0.9,SimCLR,edge_perturbation,256,3,512,0.705574912891986,0.6763646922183507,5071.67760682106,20211029-023036,40.38398790359497
24,0.9,SimCLR,subgraph,64,1,64,0.6983159117305459,0.729849012775842,5290.754811525345,20211029-035855,8.237502813339233
25,0.9,SimCLR,subgraph,64,1,512,0.6982578397212544,0.6886759581881533,5291.9235627651215,20211029-052723,16.048422813415527
26,0.9,SimCLR,subgraph,64,2,64,0.6982578397212543,0.6738095238095237,5291.882728099823,20211029-065544,9.045600175857544
27,0.9,SimCLR,subgraph,64,2,512,0.6984901277584203,0.6301974448315911,5282.071618318558,20211029-082416,29.61310839653015
28,0.9,SimCLR,subgraph,64,3,64,0.695876887340302,0.6668989547038326,5295.880990028381,20211029-095242,10.50330400466919
29,0.9,SimCLR,subgraph,64,3,512,0.6984901277584205,0.7055168408826945,5302.35703086853,20211029-112145,40.57935333251953
30,0.9,SimCLR,subgraph,256,1,64,0.7105691056910568,0.6912311265969802,5113.380347728729,20211029-124707,8.17651081085205
31,0.9,SimCLR,subgraph,256,1,512,0.7078977932636469,0.6883855981416956,5120.296081781387,20211029-141244,16.04215931892395
32,0.9,SimCLR,subgraph,256,2,64,0.7180603948896631,0.7204413472706156,5131.500864267349,20211029-153825,9.210490465164185
33,0.9,SimCLR,subgraph,256,2,512,0.6813008130081302,0.6861788617886179,5122.0649156570435,20211029-170416,28.824618101119995
34,0.9,SimCLR,subgraph,256,3,64,0.68130081300813,0.7008130081300812,5123.977843046188,20211029-182950,10.068692922592163
35,0.9,SimCLR,subgraph,256,3,512,0.6957607433217189,0.6958188153310104,5182.678535699844,20211029-195654,41.13823938369751
36,0.9,SimCLR,attribute_masking,64,1,64,0.6742160278745644,0.6520905923344947,5157.33224272728,20211029-212300,8.454450845718384
37,0.9,SimCLR,attribute_masking,64,1,512,0.7106271777003484,0.7274099883855981,5161.336817979813,20211029-224917,15.489577293395996
38,0.9,SimCLR,attribute_masking,64,2,64,0.6788037166085946,0.681184668989547,5189.908403396606,20211030-001556,9.285425424575806
39,0.9,SimCLR,attribute_masking,64,2,512,0.6883275261324041,0.64732868757259,5200.8858325481415,20211030-014307,30.116321802139282
40,0.9,SimCLR,attribute_masking,64,3,64,0.7128339140534262,0.6277003484320558,5223.235764026642,20211030-031021,10.160757541656494
41,0.9,SimCLR,attribute_masking,64,3,512,0.7056329849012776,0.6983159117305459,5227.51708316803,20211030-043809,40.72710466384888
42,0.9,SimCLR,attribute_masking,256,1,64,0.6908246225319395,0.6595238095238094,5158.655274152756,20211030-060417,8.534923791885376
43,0.9,SimCLR,attribute_masking,256,1,512,0.6788037166085946,0.7275842044134726,5163.40762925148,20211030-073036,15.518230438232422
44,0.9,SimCLR,attribute_masking,256,2,64,0.6445993031358885,0.6691637630662021,5171.32972073555,20211030-085657,9.621907949447632
45,0.9,SimCLR,attribute_masking,256,2,512,0.6814750290360045,0.67862950058072,5173.460003614426,20211030-102340,29.528745412826538
46,0.9,SimCLR,attribute_masking,256,3,64,0.6717770034843205,0.7030197444831591,5182.459238290787,20211030-115013,10.191468477249146
47,0.9,SimCLR,attribute_masking,256,3,512,0.6793263646922183,0.642218350754936,5178.6192989349365,20211030-131714,42.359278202056885
48,0.9,BarlowTwins,node_dropping,64,1,64,0.6593495934959349,0.6666085946573751,5102.696930646896,20211030-144225,8.513304471969604
49,0.9,BarlowTwins,node_dropping,64,1,512,0.7057491289198606,0.7227642276422763,5102.155528783798,20211030-160743,15.627224206924438
50,0.9,BarlowTwins,node_dropping,64,2,64,0.6886759581881533,0.6739256678281068,5108.642055273056,20211030-173301,8.992930173873901
51,0.9,BarlowTwins,node_dropping,64,2,512,0.7351335656213704,0.6962833914053426,5131.882669687271,20211030-185903,29.387155055999756
52,0.9,BarlowTwins,node_dropping,64,3,64,0.6932636469221835,0.7055168408826945,5051.929197311401,20211030-202324,9.652837991714478
53,0.9,BarlowTwins,node_dropping,64,3,512,0.7203832752613241,0.7275261324041812,5152.951886415482,20211030-214957,39.83602976799011
54,0.9,BarlowTwins,node_dropping,256,1,64,0.656910569105691,0.7250871080139373,5013.0896553993225,20211030-231339,8.37536072731018
55,0.9,BarlowTwins,node_dropping,256,1,512,0.676074332171893,0.6762485481997678,5002.428672790527,20211031-003717,15.93254280090332
56,0.9,BarlowTwins,node_dropping,256,2,64,0.693321718931475,0.7107433217189314,5070.265470981598,20211031-020157,9.127922296524048
57,0.9,BarlowTwins,node_dropping,256,2,512,0.7127758420441347,0.7031939605110337,5085.887581348419,20211031-032712,29.323559284210205
58,0.9,BarlowTwins,node_dropping,256,3,64,0.705574912891986,0.693089430894309,5094.529954433441,20211031-045217,10.038504838943481
59,0.9,BarlowTwins,node_dropping,256,3,512,0.7005226480836236,0.7108013937282229,5093.6483938694,20211031-061753,42.3523588180542
60,0.9,BarlowTwins,edge_perturbation,64,1,64,0.6690476190476189,0.6593495934959349,5061.396430492401,20211031-074223,8.517653942108154
61,0.9,BarlowTwins,edge_perturbation,64,1,512,0.6763066202090592,0.6666666666666666,5071.895780086517,20211031-090711,15.72951340675354
62,0.9,BarlowTwins,edge_perturbation,64,2,64,0.6981997677119629,0.683739837398374,5095.58803153038,20211031-103216,9.21696138381958
63,0.9,BarlowTwins,edge_perturbation,64,2,512,0.7128339140534262,0.6717770034843205,5020.470114707947,20211031-115626,29.16590189933777
64,0.9,BarlowTwins,edge_perturbation,64,3,64,0.6886759581881532,0.6839140534262484,5127.901683330536,20211031-132204,10.248000144958496
65,0.9,BarlowTwins,edge_perturbation,64,3,512,0.7227061556329849,0.7272357723577235,5052.865303516388,20211031-144658,41.013917684555054
66,0.9,BarlowTwins,edge_perturbation,256,1,64,0.662020905923345,0.6325203252032521,5032.927741527557,20211031-161100,8.636754512786865
67,0.9,BarlowTwins,edge_perturbation,256,1,512,0.6592334494773519,0.6565621370499418,5038.155283212662,20211031-173514,16.28552269935608
68,0.9,BarlowTwins,edge_perturbation,256,2,64,0.6765969802555167,0.6642857142857143,5049.4078159332275,20211031-185933,9.406773567199707
69,0.9,BarlowTwins,edge_perturbation,256,2,512,0.693321718931475,0.6617886178861788,5047.209139585495,20211031-202410,29.430466890335083
70,0.9,BarlowTwins,edge_perturbation,256,3,64,0.6614982578397212,0.6984320557491289,5050.304234981537,20211031-214831,10.196240663528442
71,0.9,BarlowTwins,edge_perturbation,256,3,512,0.7131823461091753,0.6789198606271776,5058.991115093231,20211031-231330,40.20935249328613
72,0.9,BarlowTwins,subgraph,64,1,64,0.7153890824622531,0.717711962833914,5165.130643606186,20211101-003944,8.671821117401123
73,0.9,BarlowTwins,subgraph,64,1,512,0.6667247386759583,0.6398373983739838,5291.089388847351,20211101-020812,16.4011652469635
