idx,data_prop,model_name,augmentation,batch_size,enc_layer,hidden_dim,acc,val_acc,cost_time(sec),record_time,emb_time
0,0.9,SimCLR,node_dropping,64,1,64,0.7318181818181818,0.7424242424242424,345.7525644302368,20211008-213618,1.8752431869506836
1,0.9,SimCLR,node_dropping,64,1,512,0.7393939393939394,0.7257575757575758,352.95961475372314,20211008-214214,2.8116259574890137
2,0.9,SimCLR,node_dropping,64,2,64,0.740909090909091,0.6818181818181819,363.92003083229065,20211008-214820,1.9905188083648682
3,0.9,SimCLR,node_dropping,64,2,512,0.7507575757575757,0.6787878787878788,363.78195667266846,20211008-215427,3.831080436706543
4,0.9,SimCLR,node_dropping,64,3,64,0.7606060606060605,0.7477272727272728,377.3248715400696,20211008-220047,2.069692611694336
5,0.9,SimCLR,node_dropping,64,3,512,0.7310606060606061,0.6757575757575758,374.92342615127563,20211008-220706,4.3770270347595215
6,0.9,SimCLR,node_dropping,256,1,64,0.6772727272727274,0.7234848484848484,438.6120619773865,20211008-221427,1.8560807704925537
7,0.9,SimCLR,node_dropping,256,1,512,0.715909090909091,0.7234848484848485,450.23449206352234,20211008-222200,2.7801284790039062
8,0.9,SimCLR,node_dropping,256,2,64,0.6992424242424243,0.6863636363636363,463.1090319156647,20211008-222945,1.9616544246673584
9,0.9,SimCLR,node_dropping,256,2,512,0.7242424242424244,0.7265151515151516,465.2919294834137,20211008-223734,3.6601390838623047
10,0.9,SimCLR,node_dropping,256,3,64,0.7318181818181819,0.6537878787878788,449.3365640640259,20211008-224506,2.101196765899658
11,0.9,SimCLR,node_dropping,256,3,512,0.6962121212121212,0.7689393939393939,448.6068420410156,20211008-225239,4.3638811111450195
12,0.9,SimCLR,edge_perturbation,64,1,64,0.7037878787878789,0.6606060606060608,327.8826513290405,20211008-225808,1.942115068435669
13,0.9,SimCLR,edge_perturbation,64,1,512,0.712878787878788,0.6765151515151516,328.4121334552765,20211008-230340,2.7785959243774414
14,0.9,SimCLR,edge_perturbation,64,2,64,0.715909090909091,0.6992424242424243,337.18470335006714,20211008-230919,1.8752102851867676
15,0.9,SimCLR,edge_perturbation,64,2,512,0.7143939393939395,0.7325757575757577,340.09104919433594,20211008-231503,3.6659493446350098
16,0.9,SimCLR,edge_perturbation,64,3,64,0.7606060606060606,0.7242424242424244,351.74752926826477,20211008-232056,2.0227742195129395
17,0.9,SimCLR,edge_perturbation,64,3,512,0.6803030303030303,0.6848484848484848,360.30443811416626,20211008-232701,4.43414568901062
18,0.9,SimCLR,edge_perturbation,256,1,64,0.6954545454545454,0.7242424242424244,522.5060570240021,20211008-233546,1.8845748901367188
19,0.9,SimCLR,edge_perturbation,256,1,512,0.734848484848485,0.7113636363636363,526.3801469802856,20211008-234435,2.9633514881134033
20,0.9,SimCLR,edge_perturbation,256,2,64,0.6962121212121213,0.7045454545454545,520.5625650882721,20211008-235318,1.9525697231292725
21,0.9,SimCLR,edge_perturbation,256,2,512,0.7075757575757576,0.7522727272727272,425.66613483428955,20211009-000027,3.5533409118652344
22,0.9,SimCLR,edge_perturbation,256,3,64,0.7242424242424244,0.6803030303030303,517.0215718746185,20211009-000906,2.112391471862793
23,0.9,SimCLR,edge_perturbation,256,3,512,0.7045454545454545,0.6946969696969697,538.4359278678894,20211009-001809,4.675325393676758
24,0.9,SimCLR,subgraph,64,1,64,0.7401515151515152,0.7606060606060606,401.8693323135376,20211009-002453,1.8915393352508545
25,0.9,SimCLR,subgraph,64,1,512,0.7492424242424243,0.7310606060606062,397.33316922187805,20211009-003133,2.649693489074707
26,0.9,SimCLR,subgraph,64,2,64,0.6871212121212122,0.6954545454545455,397.0342457294464,20211009-003812,1.9008126258850098
27,0.9,SimCLR,subgraph,64,2,512,0.7575757575757576,0.7507575757575757,395.5317430496216,20211009-004451,3.6485893726348877
28,0.9,SimCLR,subgraph,64,3,64,0.7522727272727272,0.7250000000000001,417.8994128704071,20211009-005151,2.0639851093292236
29,0.9,SimCLR,subgraph,64,3,512,0.7575757575757576,0.7628787878787879,413.86621928215027,20211009-005850,4.58227276802063
30,0.9,SimCLR,subgraph,256,1,64,0.7227272727272729,0.7159090909090909,509.08686232566833,20211009-010721,1.8867998123168945
31,0.9,SimCLR,subgraph,256,1,512,0.7318181818181818,0.7598484848484849,507.9668116569519,20211009-011552,2.8067469596862793
32,0.9,SimCLR,subgraph,256,2,64,0.740909090909091,0.6962121212121211,496.58273243904114,20211009-012410,1.9352445602416992
33,0.9,SimCLR,subgraph,256,2,512,0.7333333333333334,0.7696969696969698,502.4591417312622,20211009-013237,3.8513896465301514
34,0.9,SimCLR,subgraph,256,3,64,0.7424242424242424,0.7219696969696969,515.7230746746063,20211009-014115,2.1039063930511475
35,0.9,SimCLR,subgraph,256,3,512,0.7613636363636365,0.7492424242424243,520.6911134719849,20211009-015000,4.651524305343628
36,0.9,SimCLR,attribute_masking,64,1,64,0.7424242424242424,0.7416666666666668,390.81853723526,20211009-015633,1.859635591506958
37,0.9,SimCLR,attribute_masking,64,1,512,0.7159090909090909,0.6598484848484849,392.0521037578583,20211009-020308,2.9468448162078857
38,0.9,SimCLR,attribute_masking,64,2,64,0.7151515151515151,0.7318181818181818,385.76152658462524,20211009-020936,1.9463484287261963
39,0.9,SimCLR,attribute_masking,64,2,512,0.7477272727272728,0.740909090909091,395.64911913871765,20211009-021615,3.8355002403259277
40,0.9,SimCLR,attribute_masking,64,3,64,0.7325757575757577,0.7303030303030303,411.82066321372986,20211009-022309,2.0403072834014893
41,0.9,SimCLR,attribute_masking,64,3,512,0.7583333333333334,0.7318181818181818,403.47933554649353,20211009-022957,4.4631266593933105
42,0.9,SimCLR,attribute_masking,256,1,64,0.7265151515151516,0.6424242424242425,578.5844719409943,20211009-023938,1.8916609287261963
43,0.9,SimCLR,attribute_masking,256,1,512,0.7378787878787879,0.6704545454545455,607.74769115448,20211009-024948,2.704310655593872
44,0.9,SimCLR,attribute_masking,256,2,64,0.6613636363636364,0.8128787878787879,584.326744556427,20211009-025935,1.9698233604431152
45,0.9,SimCLR,attribute_masking,256,2,512,0.7151515151515152,0.6674242424242425,594.7469170093536,20211009-030933,3.7533180713653564
46,0.9,SimCLR,attribute_masking,256,3,64,0.7045454545454545,0.7507575757575757,616.2427554130554,20211009-031951,2.1270463466644287
47,0.9,SimCLR,attribute_masking,256,3,512,0.7371212121212121,0.6280303030303032,618.2320458889008,20211009-033014,4.540149450302124
48,0.9,BarlowTwins,node_dropping,64,1,64,0.7439393939393939,0.696969696969697,348.22998094558716,20211009-033605,1.865123987197876
49,0.9,BarlowTwins,node_dropping,64,1,512,0.7227272727272729,0.7060606060606062,343.38944911956787,20211009-034151,2.6686928272247314
