idx,data_prop,model_name,augmentation,batch_size,enc_layer,hidden_dim,acc,val_acc,cost_time(sec),record_time,emb_time
0,0.9,SimCLR,node_dropping,64,1,64,0.721969696969697,0.6757575757575758,23846.838127613068,20211224-123559,13.376506805419922
1,0.9,SimCLR,node_dropping,64,1,512,0.7803030303030304,0.787878787878788,24114.49060153961,20211224-191813,14.0429208278656
2,0.9,SimCLR,node_dropping,64,2,64,0.7628787878787879,0.7431818181818182,24172.24373102188,20211225-020119,13.567696809768677
3,0.9,SimCLR,node_dropping,64,2,512,0.7628787878787879,0.7454545454545455,24186.462167739868,20211225-084441,14.471315622329712
4,0.9,SimCLR,node_dropping,64,3,64,0.7818181818181819,0.7462121212121213,24199.493331193924,20211225-152815,13.716079473495483
5,0.9,SimCLR,node_dropping,64,3,512,0.7287878787878789,0.7431818181818182,24209.737057685852,20211225-221200,15.342575788497925
6,0.9,SimCLR,node_dropping,128,1,64,0.7537878787878789,0.7636363636363637,25768.892146587372,20211226-052148,13.314797401428223
7,0.9,SimCLR,node_dropping,128,1,512,0.7545454545454546,0.7545454545454546,25707.039291858673,20211226-123034,13.772908687591553
8,0.9,SimCLR,node_dropping,128,2,64,0.7545454545454546,0.7704545454545455,25811.399396181107,20211226-194100,13.392551183700562
9,0.9,SimCLR,node_dropping,128,2,512,0.7386363636363636,0.7121212121212122,25790.152164697647,20211227-025105,14.645865678787231
10,0.9,SimCLR,node_dropping,128,3,64,0.7696969696969698,0.6856060606060608,25776.081124782562,20211227-100055,13.595592498779297
11,0.9,SimCLR,node_dropping,128,3,512,0.7712121212121212,0.6522727272727272,25792.915947675705,20211227-171104,15.488913536071777
12,0.9,SimCLR,edge_perturbation,64,1,64,0.7363636363636364,0.7227272727272728,23985.554737329483,20211227-235104,13.366982460021973
13,0.9,SimCLR,edge_perturbation,64,1,512,0.7454545454545454,0.7704545454545455,23951.324722528458,20211228-063035,13.90677285194397
14,0.9,SimCLR,edge_perturbation,64,2,64,0.7712121212121212,0.7287878787878788,23964.320237636566,20211228-131018,13.47760558128357
15,0.9,SimCLR,edge_perturbation,64,2,512,0.7553030303030303,0.6878787878787879,24036.12533903122,20211228-195109,14.572268724441528
16,0.9,SimCLR,edge_perturbation,64,3,64,0.7621212121212121,0.7022727272727274,23957.51377272606,20211229-023041,13.61788558959961
17,0.9,SimCLR,edge_perturbation,64,3,512,0.7537878787878789,0.8636363636363636,24052.911934137344,20211229-091150,15.486193180084229
18,0.9,SimCLR,edge_perturbation,128,1,64,0.7848484848484849,0.7795454545454545,25719.251440525055,20211229-162043,13.39700698852539
19,0.9,SimCLR,edge_perturbation,128,1,512,0.7803030303030303,0.7462121212121212,25648.268784999847,20211229-232826,13.826289892196655
20,0.9,SimCLR,edge_perturbation,128,2,64,0.7530303030303032,0.778030303030303,25680.405112981796,20211230-063640,13.362505197525024
21,0.9,SimCLR,edge_perturbation,128,2,512,0.7643939393939394,0.7643939393939394,25677.928510189056,20211230-134453,14.197855472564697
22,0.9,SimCLR,edge_perturbation,128,3,64,0.7553030303030303,0.737878787878788,25670.36719250679,20211230-205257,13.369270086288452
23,0.9,SimCLR,edge_perturbation,128,3,512,0.7371212121212122,0.7628787878787879,25824.637647628784,20211231-040338,15.286071300506592
24,0.9,SimCLR,subgraph,64,1,64,0.7265151515151516,0.7454545454545455,22942.46629524231,20211231-102619,13.382217407226562
25,0.9,SimCLR,subgraph,64,1,512,0.7643939393939394,0.7303030303030303,23091.203860282898,20211231-165125,14.069413661956787
26,0.9,SimCLR,subgraph,64,2,64,0.7272727272727273,0.7401515151515151,23135.187587976456,20211231-231714,13.55568242073059
27,0.9,SimCLR,subgraph,64,2,512,0.7628787878787879,0.6613636363636364,23140.765102148056,20220101-054310,14.422436714172363
28,0.9,SimCLR,subgraph,64,3,64,0.7628787878787879,0.7310606060606062,23081.437886476517,20220101-120805,13.447413206100464
29,0.9,SimCLR,subgraph,64,3,512,0.7477272727272728,0.7454545454545455,23144.8876953125,20220101-183406,15.322425127029419
30,0.9,SimCLR,subgraph,128,1,64,0.7386363636363636,0.7371212121212121,22981.87975215912,20220102-005722,13.32853627204895
31,0.9,SimCLR,subgraph,128,1,512,0.7628787878787879,0.7712121212121212,22931.444873332977,20220102-071948,13.735558271408081
32,0.9,SimCLR,subgraph,128,2,64,0.7628787878787879,0.7053030303030303,22974.268877983093,20220102-134256,13.342448711395264
33,0.9,SimCLR,subgraph,128,2,512,0.7734848484848484,0.7636363636363637,22936.885685443878,20220102-200533,14.391245365142822
34,0.9,SimCLR,subgraph,128,3,64,0.7454545454545455,0.7977272727272727,22901.82452082634,20220103-022733,13.368425846099854
35,0.9,SimCLR,subgraph,128,3,512,0.7462121212121213,0.7121212121212122,22918.870792865753,20220103-084948,15.081568241119385
36,0.9,SimCLR,attribute_masking,64,1,64,0.737878787878788,0.6871212121212121,24960.143866062164,20220103-154602,13.470450162887573
37,0.9,SimCLR,attribute_masking,64,1,512,0.7727272727272727,0.8037878787878787,24995.75408434868,20220103-224252,13.853721380233765
38,0.9,SimCLR,attribute_masking,64,2,64,0.7363636363636363,0.7204545454545455,25039.95380091667,20220104-054026,13.406126976013184
39,0.9,SimCLR,attribute_masking,64,2,512,0.7643939393939394,0.6916666666666667,25024.986884593964,20220104-123751,14.449777126312256
40,0.9,SimCLR,attribute_masking,64,3,64,0.7295454545454546,0.7439393939393939,25032.267968177795,20220104-193523,13.505223751068115
41,0.9,SimCLR,attribute_masking,64,3,512,0.7530303030303032,0.7598484848484848,25067.37406730652,20220105-023326,15.205795764923096
42,0.9,SimCLR,attribute_masking,128,1,64,0.7113636363636364,0.7287878787878789,27610.0235619545,20220105-101350,13.385916709899902
43,0.9,SimCLR,attribute_masking,128,1,512,0.712878787878788,0.8128787878787879,27594.89693593979,20220105-175359,13.701043128967285
44,0.9,SimCLR,attribute_masking,128,2,64,0.7272727272727273,0.7181818181818181,27691.93738770485,20220106-013545,13.217574119567871
45,0.9,SimCLR,attribute_masking,128,2,512,0.7871212121212122,0.7113636363636364,27639.773626327515,20220106-091639,14.225780963897705
