idx,data_prop,model_name,augmentation,batch_size,enc_layer,hidden_dim,acc,val_acc,cost_time(sec),record_time,emb_time
0,0.9,SimCLR,node_dropping,64,1,64,0.75,0.8,40.126368284225464,20211008-124351,1.2517268657684326
1,0.9,SimCLR,node_dropping,64,1,512,0.8,0.65,41.59303116798401,20211008-124434,1.2411258220672607
2,0.9,SimCLR,node_dropping,64,2,64,0.75,0.65,43.293535470962524,20211008-124518,1.256150722503662
3,0.9,SimCLR,node_dropping,64,2,512,0.85,0.8,41.43088173866272,20211008-124601,1.2702767848968506
4,0.9,SimCLR,node_dropping,64,3,64,0.7,0.8,43.59385347366333,20211008-124646,1.2729089260101318
5,0.9,SimCLR,node_dropping,64,3,512,0.8,0.7,45.74798250198364,20211008-124733,1.3248496055603027
6,0.9,SimCLR,node_dropping,256,1,64,0.75,0.75,37.95092558860779,20211008-124812,1.1916556358337402
7,0.9,SimCLR,node_dropping,256,1,512,0.8,0.7,37.91492199897766,20211008-124851,1.2362406253814697
8,0.9,SimCLR,node_dropping,256,2,64,0.75,0.65,38.235483169555664,20211008-124931,1.203650712966919
9,0.9,SimCLR,node_dropping,256,2,512,0.7,0.85,38.319538831710815,20211008-125011,1.2765884399414062
10,0.9,SimCLR,node_dropping,256,3,64,0.75,0.7,39.64289212226868,20211008-125052,1.2595710754394531
11,0.9,SimCLR,node_dropping,256,3,512,0.75,0.75,40.775431871414185,20211008-125134,1.3814160823822021
12,0.9,SimCLR,edge_perturbation,64,1,64,0.75,0.6,39.140480756759644,20211008-125214,1.2425036430358887
13,0.9,SimCLR,edge_perturbation,64,1,512,0.75,0.75,39.12337064743042,20211008-125255,1.2930030822753906
14,0.9,SimCLR,edge_perturbation,64,2,64,0.65,0.65,40.575698137283325,20211008-125337,1.2595489025115967
15,0.9,SimCLR,edge_perturbation,64,2,512,0.8,0.8,40.81965470314026,20211008-125419,1.3318150043487549
16,0.9,SimCLR,edge_perturbation,64,3,64,0.85,0.9,42.3447003364563,20211008-125502,1.2659327983856201
17,0.9,SimCLR,edge_perturbation,64,3,512,0.8,0.75,43.02074217796326,20211008-125547,1.3799874782562256
18,0.9,SimCLR,edge_perturbation,256,1,64,0.75,0.6,36.83012366294861,20211008-125625,1.2473890781402588
19,0.9,SimCLR,edge_perturbation,256,1,512,0.65,0.7,36.67699599266052,20211008-125703,1.384688377380371
20,0.9,SimCLR,edge_perturbation,256,2,64,0.75,0.7,37.45480680465698,20211008-125742,1.2566168308258057
21,0.9,SimCLR,edge_perturbation,256,2,512,0.75,0.65,37.3228394985199,20211008-125821,1.2845184803009033
22,0.9,SimCLR,edge_perturbation,256,3,64,0.75,0.7,36.06209969520569,20211008-125858,1.2083091735839844
23,0.9,SimCLR,edge_perturbation,256,3,512,0.75,0.55,36.64437770843506,20211008-125936,1.3327805995941162
24,0.9,SimCLR,subgraph,64,1,64,0.8,0.95,46.59083271026611,20211008-130024,1.1965422630310059
25,0.9,SimCLR,subgraph,64,1,512,0.85,0.7,46.99474740028381,20211008-130112,1.2348177433013916
26,0.9,SimCLR,subgraph,64,2,64,0.85,0.75,48.95544457435608,20211008-130202,1.2057933807373047
27,0.9,SimCLR,subgraph,64,2,512,0.9,0.7,48.20156979560852,20211008-130252,1.3403546810150146
28,0.9,SimCLR,subgraph,64,3,64,0.75,0.75,51.38699412345886,20211008-130344,1.2645015716552734
