idx,data_prop,model_name,augmentation,batch_size,enc_layer,hidden_dim,acc,val_acc,cost_time(sec),record_time,emb_time
0,0.9,SimCLR,node_dropping,64,1,64,0.7055168408826945,0.688211382113821,5042.866295814514,20211027-174007,8.23494815826416
1,0.9,SimCLR,node_dropping,64,1,512,0.6689895470383275,0.6886178861788618,5278.525247335434,20211027-190821,15.93040943145752
2,0.9,SimCLR,node_dropping,64,2,64,0.7222996515679442,0.7251451800232287,5302.6137664318085,20211027-203653,8.737205266952515
3,0.9,SimCLR,node_dropping,64,2,512,0.7224738675958188,0.754123112659698,5277.523456573486,20211027-220521,30.054591178894043
4,0.9,SimCLR,node_dropping,64,3,64,0.7396051103368176,0.7080720092915215,5336.815718650818,20211027-233427,9.791735172271729
5,0.9,SimCLR,node_dropping,64,3,512,0.7250871080139373,0.7224738675958188,5328.152409076691,20211028-010356,40.702553510665894
6,0.9,SimCLR,node_dropping,256,1,64,0.6739256678281068,0.6495354239256678,5045.055327415466,20211028-022810,8.329938888549805
7,0.9,SimCLR,node_dropping,256,1,512,0.6691056910569104,0.6786875725900116,5091.765993356705,20211028-035317,15.468822956085205
8,0.9,SimCLR,node_dropping,256,2,64,0.6982578397212542,0.6765969802555168,5098.180333137512,20211028-051824,8.656002759933472
9,0.9,SimCLR,node_dropping,256,2,512,0.7299070847851336,0.6786295005807201,5102.6005227565765,20211028-064356,28.89500617980957
10,0.9,SimCLR,node_dropping,256,3,64,0.6985481997677119,0.7057491289198605,5104.322139978409,20211028-080910,9.70603322982788
11,0.9,SimCLR,node_dropping,256,3,512,0.7178861788617885,0.7178281068524971,5113.110938549042,20211028-093504,40.88249111175537
12,0.9,SimCLR,edge_perturbation,64,1,64,0.659581881533101,0.6713124274099883,5085.910457372665,20211028-105959,8.432778596878052
13,0.9,SimCLR,edge_perturbation,64,1,512,0.6423925667828106,0.6668408826945412,5077.680707216263,20211028-122453,16.271122694015503
14,0.9,SimCLR,edge_perturbation,64,2,64,0.6642857142857143,0.6740418118466899,5118.90460896492,20211028-135021,9.087913513183594
15,0.9,SimCLR,edge_perturbation,64,2,512,0.6740418118466898,0.7127758420441347,5128.3728811740875,20211028-151620,30.670806884765625
16,0.9,SimCLR,edge_perturbation,64,3,64,0.6810104529616724,0.659465737514518,5152.90197968483,20211028-164224,10.342358350753784
17,0.9,SimCLR,edge_perturbation,64,3,512,0.6982578397212543,0.6519744483159118,5152.103801250458,20211028-180856,40.11092782020569
18,0.9,SimCLR,edge_perturbation,256,1,64,0.6472706155632985,0.64465737514518,5045.2727291584015,20211028-193310,8.509305477142334
19,0.9,SimCLR,edge_perturbation,256,1,512,0.6714285714285714,0.669047619047619,5055.634060144424,20211028-205741,15.730309009552002
20,0.9,SimCLR,edge_perturbation,256,2,64,0.6569686411149825,0.6565040650406504,5049.180276155472,20211028-222200,9.149682760238647
21,0.9,SimCLR,edge_perturbation,256,2,512,0.6863530778164924,0.6715447154471544,5053.784567832947,20211028-234644,29.572012424468994
22,0.9,SimCLR,edge_perturbation,256,3,64,0.6838559814169569,0.6664343786295005,5054.168007135391,20211029-011108,10.085909843444824
23,0.9,SimCLR,edge_perturbation,256,3,512,0.6983159117305459,0.6788037166085946,5063.84414935112,20211029-023614,41.99084115028381
