idx,data_prop,model_name,augmentation,batch_size,enc_layer,hidden_dim,acc,val_acc,cost_time(sec),record_time,emb_time
0,0.9,SimCLR,node_dropping,64,1,64,0.7234848484848485,0.7772727272727273,348.4110200405121,20211010-122733,1.834075927734375
1,0.9,SimCLR,node_dropping,64,1,512,0.7575757575757576,0.7340909090909091,349.37429094314575,20211010-123325,2.696141004562378
2,0.9,SimCLR,node_dropping,64,2,64,0.7575757575757576,0.5916666666666666,358.08326292037964,20211010-123925,1.9282429218292236
3,0.9,SimCLR,node_dropping,64,2,512,0.7689393939393939,0.6696969696969697,359.96012902259827,20211010-124529,3.7331342697143555
4,0.9,SimCLR,node_dropping,64,3,64,0.7340909090909091,0.7386363636363636,363.23223757743835,20211010-125134,1.939192295074463
5,0.9,SimCLR,node_dropping,64,3,512,0.7234848484848485,0.6674242424242425,352.074191570282,20211010-125731,4.597569465637207
6,0.9,SimCLR,node_dropping,256,1,64,0.7045454545454546,0.6954545454545454,429.05749106407166,20211010-130442,1.8001708984375
7,0.9,SimCLR,node_dropping,256,1,512,0.7340909090909091,0.7234848484848485,430.6478362083435,20211010-131155,2.729947090148926
8,0.9,SimCLR,node_dropping,256,2,64,0.6893939393939393,0.6772727272727274,435.68837094306946,20211010-131913,1.8543434143066406
9,0.9,SimCLR,node_dropping,256,2,512,0.7242424242424244,0.7340909090909091,435.23794293403625,20211010-132632,3.4560582637786865
10,0.9,SimCLR,node_dropping,256,3,64,0.740909090909091,0.6537878787878788,433.00987577438354,20211010-133347,1.973114013671875
11,0.9,SimCLR,node_dropping,256,3,512,0.7143939393939394,0.7681818181818182,449.14473724365234,20211010-134121,4.641258716583252
12,0.9,SimCLR,edge_perturbation,64,1,64,0.6856060606060607,0.6962121212121213,338.34415888786316,20211010-134701,1.9038455486297607
13,0.9,SimCLR,edge_perturbation,64,1,512,0.7037878787878789,0.6515151515151516,338.77630710601807,20211010-135243,2.906576156616211
14,0.9,SimCLR,edge_perturbation,64,2,64,0.75,0.690909090909091,339.5304744243622,20211010-135824,1.8698630332946777
15,0.9,SimCLR,edge_perturbation,64,2,512,0.7053030303030303,0.7143939393939395,338.12987661361694,20211010-140406,3.802316188812256
16,0.9,SimCLR,edge_perturbation,64,3,64,0.7424242424242424,0.7151515151515152,354.41055274009705,20211010-141003,2.203202962875366
17,0.9,SimCLR,edge_perturbation,64,3,512,0.7075757575757576,0.6848484848484849,362.1136963367462,20211010-141610,4.58969259262085
18,0.9,SimCLR,edge_perturbation,256,1,64,0.706060606060606,0.7068181818181818,434.9861960411072,20211010-142326,1.886467695236206
19,0.9,SimCLR,edge_perturbation,256,1,512,0.753030303030303,0.7015151515151515,437.5988178253174,20211010-143047,2.9369919300079346
20,0.9,SimCLR,edge_perturbation,256,2,64,0.6780303030303031,0.6863636363636364,418.4395616054535,20211010-143747,1.8840200901031494
21,0.9,SimCLR,edge_perturbation,256,2,512,0.715909090909091,0.7613636363636365,418.75461077690125,20211010-144450,3.4146506786346436
22,0.9,SimCLR,edge_perturbation,256,3,64,0.7333333333333334,0.6893939393939394,416.04660725593567,20211010-145148,2.016052722930908
23,0.9,SimCLR,edge_perturbation,256,3,512,0.7227272727272727,0.6863636363636364,419.5823495388031,20211010-145852,4.67979097366333
24,0.9,SimCLR,subgraph,64,1,64,0.7674242424242425,0.7424242424242424,369.5783908367157,20211010-150504,1.792771339416504
25,0.9,SimCLR,subgraph,64,1,512,0.7310606060606062,0.7136363636363637,371.3751411437988,20211010-151118,2.672010660171509
26,0.9,SimCLR,subgraph,64,2,64,0.6962121212121213,0.693939393939394,377.62520122528076,20211010-151737,1.8374385833740234
27,0.9,SimCLR,subgraph,64,2,512,0.7484848484848485,0.6962121212121213,382.3842542171478,20211010-152403,3.6128265857696533
28,0.9,SimCLR,subgraph,64,3,64,0.7613636363636365,0.725,399.0510063171387,20211010-153044,2.1195359230041504
29,0.9,SimCLR,subgraph,64,3,512,0.7484848484848484,0.7621212121212121,391.4620306491852,20211010-153720,4.303067445755005
30,0.9,SimCLR,subgraph,256,1,64,0.7318181818181818,0.7151515151515152,370.44768619537354,20211010-154333,1.7988698482513428
31,0.9,SimCLR,subgraph,256,1,512,0.740909090909091,0.7780303030303031,373.07082176208496,20211010-154948,2.6435387134552
32,0.9,SimCLR,subgraph,256,2,64,0.7227272727272728,0.6977272727272726,372.785640001297,20211010-155603,1.8331177234649658
33,0.9,SimCLR,subgraph,256,2,512,0.7333333333333334,0.7431818181818182,377.62599635124207,20211010-160224,3.4019858837127686
34,0.9,SimCLR,subgraph,256,3,64,0.7234848484848485,0.712878787878788,371.4201624393463,20211010-160838,1.994112253189087
35,0.9,SimCLR,subgraph,256,3,512,0.7613636363636364,0.7227272727272728,376.62570571899414,20211010-161459,4.295122146606445
36,0.9,SimCLR,attribute_masking,64,1,64,0.7515151515151516,0.7325757575757577,380.6503200531006,20211010-162121,1.8765950202941895
37,0.9,SimCLR,attribute_masking,64,1,512,0.706060606060606,0.7060606060606062,385.666136264801,20211010-162750,2.9338786602020264
